"id","house_id","price","area","rooms","street","website","location"
126,3002563697,1840,48,2.5,"Mattengasse 29","https://www.homegate.ch/rent/3002563697","8005 Zurich"
127,3002171294,2450,25,1.0,"Langstrasse 213","https://www.homegate.ch/rent/3002171294","8005 Zurich"
128,3002096344,2740,78,2.5,"Josefstrasse 200","https://www.homegate.ch/rent/3002096344","8005 Zurich"
129,3001627087,2750,35,2.0,"Langstrasse 213","https://www.homegate.ch/rent/3001627087","8005 Zurich"
130,3002590539,2990,67,2.5,"Limmatstrasse 27","https://www.homegate.ch/rent/3002590539","8005 Zurich"
131,3001670626,3300,40,2.5,"Langstrasse 213","https://www.homegate.ch/rent/3001670626","8005 Zurich"
132,3002583123,4265,124,3.5,"Turbinenstrasse 33","https://www.homegate.ch/rent/3002583123","8005 Zurich"
133,3002404864,4750,131,3.5,"Giessereistrasse 14","https://www.homegate.ch/rent/3002404864","8005 Zurich"
134,3002419177,4900,90,2.5,"Turbinenstrasse","https://www.homegate.ch/rent/3002419177","8005 Zurich"
135,3002422797,4950,101,3.5,"Hafnerstrasse 7","https://www.homegate.ch/rent/3002422797","8005 Zurich"
136,3002557264,7400,140,3.5,"8005 Zurich","https://www.homegate.ch/rent/3002557264","8005 Zurich"
137,3002541867,7520,195,3.5,"8005 Zurich","https://www.homegate.ch/rent/3002541867","8005 Zurich"
138,3002558221,1600,54,2.0,"Mohrlistrasse 103","https://www.homegate.ch/rent/3002558221","8006 Zurich"
139,3002344304,1980,19,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002344304","8006 Zurich"
140,3002344301,1980,19,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002344301","8006 Zurich"
141,3002344299,1980,21,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002344299","8006 Zurich"
142,3001673134,1980,21,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001673134","8006 Zurich"
143,3001056383,1980,17,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001056383","8006 Zurich"
144,3002352022,2495,47,2.0,"Schanzackerstrassse 18","https://www.homegate.ch/rent/3002352022","8006 Zurich"
145,3002495087,2665,90,3.0,"Winterthurerstrasse 80","https://www.homegate.ch/rent/3002495087","8006 Zurich"
146,3001683589,2750,30,2.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001683589","8006 Zurich"
147,3001034709,2750,30,2.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001034709","8006 Zurich"
148,3002579113,2750,60,2.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002579113","8006 Zurich"
149,3002565461,2890,66,3.0,"Schaffhauserstrasse 5","https://www.homegate.ch/rent/3002565461","8006 Zurich"
150,3001411018,3000,82,3.0,"Schaffhauserstrasse","https://www.homegate.ch/rent/3001411018","8006 Zurich"
151,3002523624,3010,93,3.5,"Rigistrasse 28","https://www.homegate.ch/rent/3002523624","8006 Zurich"
152,3002583468,3150,83,3.5,"Gotzstrasse 16","https://www.homegate.ch/rent/3002583468","8006 Zurich"
153,3002589911,3200,98,2.5,"Scherrstrasse 6","https://www.homegate.ch/rent/3002589911","8006 Zurich"
154,3002572318,3320,120,5.0,"Rigistrasse 6","https://www.homegate.ch/rent/3002572318","8006 Zurich"
155,3001673132,3600,77,3.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001673132","8006 Zurich"
156,3002561380,3850,90,2.5,"8006 Zurich","https://www.homegate.ch/rent/3002561380","8006 Zurich"
157,3002529151,4618,126,4.5,"Rigistr. 52","https://www.homegate.ch/rent/3002529151","8006 Zurich"
158,3002543353,1820,44,1.0,"Santisstrasse 12a","https://www.homegate.ch/rent/3002543353","8008 Zurich"
159,3002535834,2250,38,1.5,"Wildbachstrasse 66","https://www.homegate.ch/rent/3002535834","8008 Zurich"
160,3002592406,2425,84,3.5,"Im Walder 12/14/16/18","https://www.homegate.ch/rent/3002592406","8008 Zurich"
161,3002569509,2910,70,2.5,"Klausstrasse 49","https://www.homegate.ch/rent/3002569509","8008 Zurich"
162,3002490492,3050,75,3.0,"Seefeldstrasse 47","https://www.homegate.ch/rent/3002490492","8008 Zurich"
163,3002350126,3110,63,2.5,"Arbenzstrasse 3","https://www.homegate.ch/rent/3002350126","8008 Zurich"
164,3002265239,3395,92,2.5,"Mainaustrasse 49","https://www.homegate.ch/rent/3002265239","8008 Zurich"
165,3002539474,3460,101,3.0,"Dufourstrasse 94","https://www.homegate.ch/rent/3002539474","8008 Zurich"
166,3000295311,3800,85,2.5,"Dahliastrasse 16","https://www.homegate.ch/rent/3000295311","8008 Zurich"
167,3002569750,4475,104,3.5,"Florastrasse 21","https://www.homegate.ch/rent/3002569750","8008 Zurich"
168,3002535615,4975,110,4.0,"Billrothstr. 18","https://www.homegate.ch/rent/3002535615","8008 Zurich"
169,3002535654,4975,110,4.0,"Billrothstr. 18","https://www.homegate.ch/rent/3002535654","8008 Zurich"
170,3002585716,5100,105,3.5,"Zimmergasse 8","https://www.homegate.ch/rent/3002585716","8008 Zurich"
171,3002583754,5240,96,3.5,"Muhlebachstrasse 155","https://www.homegate.ch/rent/3002583754","8008 Zurich"
172,109992819,5290,83,3.5,"Seefeldstrasse","https://www.homegate.ch/rent/109992819","8008 Zurich"
173,3002526196,5320,78,3.5,"Mittelstrasse 55","https://www.homegate.ch/rent/3002526196","8008 Zurich"
174,3002316120,5850,117,3.5,"Altenhofstrasse 45","https://www.homegate.ch/rent/3002316120","8008 Zurich"
175,3002502208,5900,110,3.5,"8008 Zurich","https://www.homegate.ch/rent/3002502208","8008 Zurich"
176,3002340083,6033,115,4.5,"Arbenzstrasse 20","https://www.homegate.ch/rent/3002340083","8008 Zurich"
177,3002233917,6200,164,3.0,"8008 Zurich","https://www.homegate.ch/rent/3002233917","8008 Zurich"
178,3002506644,6800,170,5.5,"Seehofstrasse 4","https://www.homegate.ch/rent/3002506644","8008 Zurich"
179,3002312496,8500,155,4.5,"Altenhofstrasse 45","https://www.homegate.ch/rent/3002312496","8008 Zurich"
180,3002530061,1695,26,1.0,"Veilchenstrasse 14","https://www.homegate.ch/rent/3002530061","8032 Zurich"
181,3001683220,1790,15,1.0,"Asylstrasse 125","https://www.homegate.ch/rent/3001683220","8032 Zurich"
182,3001034637,1800,22,1.0,"Asylstrasse 125","https://www.homegate.ch/rent/3001034637","8032 Zurich"
183,3001034639,1850,20,1.0,"Asylstrasse 125","https://www.homegate.ch/rent/3001034639","8032 Zurich"
184,3002464722,2160,38,1.5,"Asylstrasse 108","https://www.homegate.ch/rent/3002464722","8032 Zurich"
185,3002464728,2475,42,1.5,"Asylstrasse 108","https://www.homegate.ch/rent/3002464728","8032 Zurich"
186,3002589979,2480,54,2.5,"Sempacherstrasse 34","https://www.homegate.ch/rent/3002589979","8032 Zurich"
187,3002564074,2600,40,2.0,"Hegibachstrasse 34B","https://www.homegate.ch/rent/3002564074","8032 Zurich"
188,3002312178,2650,62,2.5,"Hegibachstrasse 68","https://www.homegate.ch/rent/3002312178","8032 Zurich"
189,3002392334,2690,56,2.0,"Zeltweg 33","https://www.homegate.ch/rent/3002392334","8032 Zurich"
190,3002563917,2800,67,2.0,"Rutistrasse 24","https://www.homegate.ch/rent/3002563917","8032 Zurich"
191,3001683216,2880,40,2.5,"Asylstrasse 125","https://www.homegate.ch/rent/3001683216","8032 Zurich"
192,3002583940,2990,65,2.5,"Neptunstrasse 49","https://www.homegate.ch/rent/3002583940","8032 Zurich"
193,3002551997,3000,67,3.0,"Frobelstrasse 20","https://www.homegate.ch/rent/3002551997","8032 Zurich"
194,3002071572,3150,60,2.5,"Asylstrasse 125","https://www.homegate.ch/rent/3002071572","8032 Zurich"
195,3002550108,3400,81,2.5,"Spiegelhofstrasse 56","https://www.homegate.ch/rent/3002550108","8032 Zurich"
196,3002550021,3500,76,3.0,"Klosbachstrasse 88","https://www.homegate.ch/rent/3002550021","8032 Zurich"
197,3002535635,3975,90,3.5,"Asylstr. 11","https://www.homegate.ch/rent/3002535635","8032 Zurich"
198,3002535664,3975,90,3.5,"Asylstr. 11","https://www.homegate.ch/rent/3002535664","8032 Zurich"
199,3002535670,3975,90,3.5,"Asylstr. 11","https://www.homegate.ch/rent/3002535670","8032 Zurich"
200,3002312179,4510,118,4.5,"Hegibachstrasse 68","https://www.homegate.ch/rent/3002312179","8032 Zurich"
201,3002294818,6200,166,4.5,"Hirslanderstrasse 20","https://www.homegate.ch/rent/3002294818","8032 Zurich"
202,3002424955,8150,170,7.0,"Bergstrasse 76","https://www.homegate.ch/rent/3002424955","8032 Zurich"
203,3002377705,9900,203,6.5,"Hofstrasse 74","https://www.homegate.ch/rent/3002377705","8032 Zurich"
204,3002557638,11500,260,6.5,"Dolderstrasse 104a","https://www.homegate.ch/rent/3002557638","8032 Zurich"
205,3002589048,1212,18,1.0,"Zschokkestrasse","https://www.homegate.ch/rent/3002589048","8037 Zurich"
206,3002592326,2390,68,3.0,"Nordstrasse 94","https://www.homegate.ch/rent/3002592326","8037 Zurich"
207,3002584207,2570,50,2.0,"Dorfstrasse 40","https://www.homegate.ch/rent/3002584207","8037 Zurich"
208,3002574309,2800,60,2.5,"Rutschistrasse 16","https://www.homegate.ch/rent/3002574309","8037 Zurich"
209,3002569423,3255,51,2.5,"Rosengartenstrasse 55","https://www.homegate.ch/rent/3002569423","8037 Zurich"
210,3002541001,3545,64,2.5,"Rosengartenstrasse 55","https://www.homegate.ch/rent/3002541001","8037 Zurich"
211,3002487882,3800,75,3.5,"Bucheggstrasse 21","https://www.homegate.ch/rent/3002487882","8037 Zurich"
212,3002541002,3865,60,2.5,"Rosengartenstrasse 55","https://www.homegate.ch/rent/3002541002","8037 Zurich"
213,3002540999,4215,71,3.5,"Rosengartenstrasse 55","https://www.homegate.ch/rent/3002540999","8037 Zurich"
214,3002541003,4795,49,2.5,"Rosengartenstrasse 55","https://www.homegate.ch/rent/3002541003","8037 Zurich"
215,3002584602,1179,61,3.5,"Ziegelstrasse 20","https://www.homegate.ch/rent/3002584602","8038 Zurich"
216,3002573232,1730,54,2.0,"David-Hess-Weg 19","https://www.homegate.ch/rent/3002573232","8038 Zurich"
217,3002500536,2370,69,3.0,"Butzenstrasse 40","https://www.homegate.ch/rent/3002500536","8038 Zurich"
218,3002582112,2410,79,3.0,"Renggerstrasse","https://www.homegate.ch/rent/3002582112","8038 Zurich"
219,3002589664,2630,67,3.0,"Seestrasse 368","https://www.homegate.ch/rent/3002589664","8038 Zurich"
220,3002472998,4800,120,3.5,"Thujastrasse 17","https://www.homegate.ch/rent/3002472998","8038 Zurich"
221,3002577246,8790,100,3.5,"Etzelstrasse 35","https://www.homegate.ch/rent/3002577246","8038 Zurich"
222,3002477520,2185,87,1.5,"Soodstrasse 90","https://www.homegate.ch/rent/3002477520","8041 Zurich"
223,3002584582,2490,83,2.5,"Tuchmacherstrasse 40","https://www.homegate.ch/rent/3002584582","8041 Zurich"
224,3002588259,2500,77,3.5,"Allmendstrasse 98","https://www.homegate.ch/rent/3002588259","8041 Zurich"
225,3002477518,2745,161,1.5,"Soodstrasse 90","https://www.homegate.ch/rent/3002477518","8041 Zurich"
226,3002466642,2750,103,3.5,"Allmendstrasse 158","https://www.homegate.ch/rent/3002466642","8041 Zurich"
227,3002322803,3400,118,5.0,"Grossackerstrasse 41","https://www.homegate.ch/rent/3002322803","8041 Zurich"
228,3002465027,3310,83,2.5,"Restelbergstrasse 56","https://www.homegate.ch/rent/3002465027","8044 Zurich"
229,3002567624,3410,87,2.5,"Hinterbergstrasse 108","https://www.homegate.ch/rent/3002567624","8044 Zurich"
230,3002455935,3750,90,3.5,"Hochstrasse 79","https://www.homegate.ch/rent/3002455935","8044 Zurich"
231,3002041333,3990,106,3.5,"Herzogstrasse 7","https://www.homegate.ch/rent/3002041333","8044 Zurich"
232,3002590861,4970,132,3.5,"Moussonstrasse 18","https://www.homegate.ch/rent/3002590861","8044 Zurich"
233,3002379126,4994,141,3.5,"8044 Zurich","https://www.homegate.ch/rent/3002379126","8044 Zurich"
234,3002592217,6850,250,6.5,"Schlossliweg 9","https://www.homegate.ch/rent/3002592217","8044 Zurich"
235,3002418656,6850,140,3.5,"Forsterstrasse 30","https://www.homegate.ch/rent/3002418656","8044 Zurich"
236,3002589946,1150,16,1.0,"Wannerstrasse","https://www.homegate.ch/rent/3002589946","8045 Zurich"
237,3002239547,1900,94,4.5,"Bachtobelstrasse 205","https://www.homegate.ch/rent/3002239547","8045 Zurich"
238,3002239544,1900,93,4.5,"Hegianwandweg 98","https://www.homegate.ch/rent/3002239544","8045 Zurich"
239,3002564157,2460,62,3.0,"Eichstr. 24","https://www.homegate.ch/rent/3002564157","8045 Zurich"
240,3002590076,1020,16,1.0,"Im Hagenbrunneli","https://www.homegate.ch/rent/3002590076","8046 Zurich"
241,3002584369,1480,55,2.0,"Wehntalerstrasse 527","https://www.homegate.ch/rent/3002584369","8046 Zurich"
242,3002538613,1525,55,3.0,"Bergacker 12","https://www.homegate.ch/rent/3002538613","8046 Zurich"
243,3002584593,1570,58,2.5,"Schwandenholzstrasse 216","https://www.homegate.ch/rent/3002584593","8046 Zurich"
244,3002573334,2150,52,2.5,"Holderbachweg 61","https://www.homegate.ch/rent/3002573334","8046 Zurich"
245,3002529852,2245,82,3.5,"Schwandenholzstrasse 224","https://www.homegate.ch/rent/3002529852","8046 Zurich"
246,3002504132,3400,147,5.5,"Weidmannstrasse 15","https://www.homegate.ch/rent/3002504132","8046 Zurich"
247,3002585749,1299,57,2.0,"In der Ey 81","https://www.homegate.ch/rent/3002585749","8047 Zurich"
248,3002260541,1640,27,1.0,"Wydackerring 61","https://www.homegate.ch/rent/3002260541","8047 Zurich"
249,3002568992,1850,65,3.5,"Langgrutstrasse 21","https://www.homegate.ch/rent/3002568992","8047 Zurich"
250,3002590766,1945,48,2.5,"Anemonenstrasse 42","https://www.homegate.ch/rent/3002590766","8047 Zurich"
251,3002260539,2405,46,2.5,"Wydackerring","https://www.homegate.ch/rent/3002260539","8047 Zurich"
252,3002260538,3325,84,3.5,"Wydackerring 63","https://www.homegate.ch/rent/3002260538","8047 Zurich"
253,3002260540,4045,112,4.5,"Wydackerring","https://www.homegate.ch/rent/3002260540","8047 Zurich"
254,3002589919,1000,35,2.0,"8048 Zurich","https://www.homegate.ch/rent/3002589919","8048 Zurich"
255,3002537167,1150,14,1.0,"Freihofstrasse 1","https://www.homegate.ch/rent/3002537167","8048 Zurich"
256,3002346259,1490,39,1.5,"Girhaldenstrasse 36","https://www.homegate.ch/rent/3002346259","8048 Zurich"
257,3001912432,1620,23,1.5,"Bernerstrasse S 169","https://www.homegate.ch/rent/3001912432","8048 Zurich"
258,3002572333,1766,47,1.5,"Jakob Fuglistrasse 16","https://www.homegate.ch/rent/3002572333","8048 Zurich"
259,3002565456,1990,68,3.0,"Baslerstrasse 119","https://www.homegate.ch/rent/3002565456","8048 Zurich"
260,3002591379,2173,72,2.5,"Grimselstrasse 12","https://www.homegate.ch/rent/3002591379","8048 Zurich"
261,3002571495,2430,70,2.5,"8048 Zurich","https://www.homegate.ch/rent/3002571495","8048 Zurich"
262,3002437256,2900,65,2.5,"Herrligweg 9","https://www.homegate.ch/rent/3002437256","8048 Zurich"
263,3002170388,2900,68,2.5,"Badenerstrasse 527","https://www.homegate.ch/rent/3002170388","8048 Zurich"
264,3002565659,3995,111,4.5,"Badenerstrasse 531","https://www.homegate.ch/rent/3002565659","8048 Zurich"
265,3002059430,5490,110,4.5,"Meientalstrasse 67","https://www.homegate.ch/rent/3002059430","8048 Zurich"
266,3002336828,1290,30,1.0,"Limmattalstrasse 265","https://www.homegate.ch/rent/3002336828","8049 Zurich"
267,3002590170,1675,67,3.0,"Imbisbuhlstrasse 167","https://www.homegate.ch/rent/3002590170","8049 Zurich"
268,3002264823,2435,95,4.0,"Naglerwiesenstrasse 52","https://www.homegate.ch/rent/3002264823","8049 Zurich"
269,3002573744,2490,88,3.5,"Wartauweg 19","https://www.homegate.ch/rent/3002573744","8049 Zurich"
270,3002449912,2600,87,3.5,"Riedhofstrasse 378","https://www.homegate.ch/rent/3002449912","8049 Zurich"
271,3002503804,2670,98,3.5,"Reinhold-Frei-Strasse 66","https://www.homegate.ch/rent/3002503804","8049 Zurich"
272,3002557013,2990,97,3.5,"Im Stelzenacker 13","https://www.homegate.ch/rent/3002557013","8049 Zurich"
273,3002319008,3160,80,2.5,"Regensdorferstrasse 70","https://www.homegate.ch/rent/3002319008","8049 Zurich"
274,3002591816,1090,26,1.0,"Salvatorstrasse 4","https://www.homegate.ch/rent/3002591816","8050 Zurich"
275,3002587905,1480,39,2.0,"Dorflistrasse 74","https://www.homegate.ch/rent/3002587905","8050 Zurich"
276,3002417892,1650,15,1.0,"Gubelstrasse 64","https://www.homegate.ch/rent/3002417892","8050 Zurich"
277,3002540816,1690,40,1.5,"Dorflistrasse 74","https://www.homegate.ch/rent/3002540816","8050 Zurich"
278,3001034677,1790,15,1.0,"Friesstrasse 8","https://www.homegate.ch/rent/3001034677","8050 Zurich"
279,3001034675,1890,20,1.5,"Friesstrasse 8","https://www.homegate.ch/rent/3001034675","8050 Zurich"
280,3001525264,1980,20,1.0,"Binzmuhlestrasse 51","https://www.homegate.ch/rent/3001525264","8050 Zurich"
281,3001217518,2100,30,1.0,"Friesstrasse 12","https://www.homegate.ch/rent/3001217518","8050 Zurich"
282,3001034692,2150,35,1.5,"Gubelstrasse 64","https://www.homegate.ch/rent/3001034692","8050 Zurich"
283,3001034688,2150,25,1.5,"Friesstrasse 33","https://www.homegate.ch/rent/3001034688","8050 Zurich"
284,3001034689,2150,25,1.5,"Friesstrasse 33","https://www.homegate.ch/rent/3001034689","8050 Zurich"
285,3001034683,2200,26,1.5,"Friesstrasse 16","https://www.homegate.ch/rent/3001034683","8050 Zurich"
286,3001525273,2200,30,1.0,"Friesstrasse 12","https://www.homegate.ch/rent/3001525273","8050 Zurich"
287,3001034653,2250,25,1.0,"Binzmuhlestrasse 51","https://www.homegate.ch/rent/3001034653","8050 Zurich"
288,3001034655,2400,30,1.0,"Binzmuhlestrasse 51","https://www.homegate.ch/rent/3001034655","8050 Zurich"
289,3001034658,2490,20,1.0,"Binzmuhlestrasse 51","https://www.homegate.ch/rent/3001034658","8050 Zurich"
290,3002569751,2495,70,2.5,"Tramstrasse 2a","https://www.homegate.ch/rent/3002569751","8050 Zurich"
291,3002552658,2505,70,2.5,"Tramstrasse 2a","https://www.homegate.ch/rent/3002552658","8050 Zurich"
292,3001034679,2650,40,2.0,"Friesstrasse 8","https://www.homegate.ch/rent/3001034679","8050 Zurich"
293,3001683358,2750,40,2.5,"Friesstrasse 12","https://www.homegate.ch/rent/3001683358","8050 Zurich"
294,3001121327,2750,40,2.0,"Friesstrasse 16","https://www.homegate.ch/rent/3001121327","8050 Zurich"
295,3001453502,2750,40,2.0,"Friesstrasse 16","https://www.homegate.ch/rent/3001453502","8050 Zurich"
